Window_Index,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
326,0.2525,0.1463,0.1463
327,0.3902,0.2525,0.2525
328,0.2525,0.1463,0.1463
329,0.6828,0.6828,0.6828
330,0.3902,0.3902,0.3902
331,0.3902,0.3443,0.3443
332,0.3902,0.8291,0.8291
333,0.3902,0.3443,0.3443
334,0.3902,0.3443,0.3443
335,0.3902,0.3443,0.3443
336,0.3902,0.2525,0.2525
337,0.2525,0.1463,0.1463
338,0.3902,0.2525,0.2525
339,0.2525,0.1463,0.1463
340,0.2525,0.1463,0.1463
341,0.1836,0.1463,0.1463
342,0.6828,0.6828,0.6828
